code,trade_en,short,trade_zh,typical_sections,keywords
TIL,Tiling,Tiling,鋪貼工程,Tiling,tile;tiling;ceramic tile;porcelain;floor tile;wall tile;mosaic;紙皮石;瓷磚;地磚;瓦
PAI,Painting and Decorating,Painting,油漆工程,Painting,paint;painting;decorating;emulsion;varnish;lacquer;wallpaper;油漆;乳膠漆;掃漆;牆紙
DRA,Drainage,Drainage,排水工程,Drainage,drainage;drain;sewer;manhole;gully;u-channel;stormwater;排水;去水;污水;雨水渠;沙井
PLU,Plumbing and Sanitary,Plumbing,供水及衞生設備工程,Plumbing and Drainage;Sanitary,plumbing;water supply;pipework;sanitary;wc;basin;bath;shower;tap;valve;供水;水管;衞生設備;潔具;水龍頭;坐廁
FIR,Fire Services,Fire Services,消防工程,Fire Services,fire;fire services;fire fighting;sprinkler;fire hydrant;fire alarm;detector;hose reel;消防;花灑;消防喉;煙霧感應
ELE,Electrical Installation,Electrical,Electrical,電力工程,Electrical
LV,LV Switchgear and LV System,LV Switchgear,低壓開關及低壓系統工程,Electrical,switchgear;lv;low voltage;busbar;transformer;substation;低壓;配電箱;母線;變壓器
ELV,ELV Systems,ELV Systems,弱電系統工程,ELV;Extra Low Voltage,elv;extra low voltage;cctv;intercom;paging;public address;data;fibre;structured cabling;弱電;閉路電視;對講機;廣播;光纖
ACV,Air Conditioning and Ventilation,Air Con & Vent,Air Con & Vent,空調及通風工程,Air-conditioning and Ventilation
LFT,Lifts and Escalators,Lifts,升降機及電梯工程,Lifts and Escalators,lift;lifts;escalator;escalators;dumb waiter;升降機;電梯;扶手電梯;𨋢
RWD,Roadworks,Roadworks,道路工程,Roadworks,roadworks;road;paving;kerb;carriageway;asphalt;bituminous surfacing;道路;瀝青;路緣;行人路
LSC,Landscaping,Landscaping,園境工程,Landscaping,landscaping;landscape;planting;turf;topsoil;tree;softscape;園境;種植;草坪;樹木
FEN,Fencing and Gates,Fencing,圍欄及閘門工程,Fencing;Gates,fencing;fence;gate;barrier;railing;圍欄;鐵閘;閘門
PAV,Paving,Paving,鋪路工程,External Works,paving;pavement;paved;block paving;interlocking;舖路;磚鋪;行人道
SUP,Supply and Installation of Sanitary Fixtures,Sanitary Fittings,Sanitary Fittings,衞生設備供應及安裝工程,Sanitary Fixtures
INS,Insulation and Fire Protection Coating,Insulation,保溫及防火塗層工程,Insulation;Fire Protection,insulation;thermal insulation;fireproof;intumescent;fire retardant;保溫;隔熱;防火塗料
WEL,Welding Works,Welding,焊接工程,Structural Steel;Metal Works,weld;welding;site weld;焊接
SCA,Scaffolding,Scaffolding,棚架工程,Scaffolding,scaffold;scaffolding;shoring;棚架;工作台
TRA,Temporary Works,Temporary Works,Temporary Works,臨時工程,Temporary Works
FIT,General Builder Fit Out,Fit Out,Fit Out,一般裝修工程,Building Works;Fit Out
CLN,Cleaning and Protective Works,Cleaning,清潔及保護工程,Cleaning,cleaning;protective;protection;final clean;brick cleaning;清潔;保護
MAS,Masonry,Masonry,砌築工程,Masonry,masonry;brick;bricks;brickwork;blockwork;block wall;brick wall;cement sand mortar;砌;磚;磚牆;砌塊;砌築;圍牆
DOR,Doors and Ironmongery,Doors,門及五金工程,Doors,door;doors;door frame;door set;ironmongery;hollow core;door closer;門;門框;五金;木門
CEI,Ceilings,Ceilings,天花工程,Ceilings,ceiling;ceilings;false ceiling;suspended ceiling;metal ceiling;ceiling panel;天花;吊頂;假天花
